内置番号,卡号,姓名,姓氏提取,匹配类型,骑砍ID,罗马音名,家族,文化,类型,外观模版,生年,登场,终年,死因,父亲,父亲编号,祖父,祖父编号,亲族,仕官倾向,仕官相性,亲密相性,性情,精神,主义,行动,情义,野心,喜好,物欲,饮酒,出身,武具,统率,武力,政务,智谋,魅力,足轻,骑马,火枪,水军,弓术,武艺,军学,忍术,建筑,开垦,矿山,算术,礼法,辩才,茶道,医术,特殊合战卡,秘技卡,称号卡,亲密获取,组合获取,事件获取,流亡之章,姓名,身份,立场,所属势力,所属据点,所属流派,乱麻之章,姓名,身份,立场,所属势力,所属据点,所属流派,日轮之章,姓名,身份,立场,所属势力,所属据点,所属流派,升龙之章,姓名,身份,立场,所属势力,所属据点,所属流派,覇道之章,姓名,身份,立场,所属势力,所属据点,所属流派,转变之章,姓名,身份,立场,所属势力,所属据点,所属流派,浪华之章,姓名,身份,立场,所属势力,所属据点,所属流派,太平之章,姓名,身份,立场,所属势力,所属据点,所属流派,梦幻之章,姓名,身份,立场,所属势力,所属据点,所属流派,事件获取
214,259,柿崎景家,柿崎,精确匹配,lord_1_kakizaki,Kakizaki Kageie,clan_kakizaki_1,hokuriku,精确匹配织丰,,1513,1554,1575,战死,,,,,,只限武将,19,1,性急,勇敢,普通,轻率,普通,44,武具,贪心,普通,源氏,刀剑,88,82,19,16,51,2,3,1,1,1,1,2,0,0,1,0,1,0,0,0,1,车悬,强袭,无,无要求,,,已登场,柿崎景家,部将,直臣,长尾家,春日山城,无,已登场,柿崎景家,家老,直臣,长尾家,春日山城,无,已登场,柿崎景家,家老,直臣,长尾家,春日山城,无,已登场,柿崎景家,家老,直臣,上杉家,春日山城,无,已登场,柿崎景家,家老,直臣,上杉家,春日山城,无,已死亡,柿崎景家,无效,无效,无,无效,无,已死亡,柿崎景家,无效,无效,无,无效,无,已死亡,柿崎景家,无效,无效,无,无效,无,已登场,柿崎景家,浪人,其他,无,仙台之町,无,
215,260,蛎崎季广,蛎崎,精确匹配,lord_2_kakizaki,Kakizaki Suehiro,clan_kakizaki_2,ou,精确匹配织丰,,1507,1554,1595,病死,,,,,蛎崎庆广,全职种,65,65,普通,普通,普通,慎重,普通,64,艺术品,普通,普通,源氏,刀剑,64,42,70,76,69,2,2,1,2,0,0,2,0,0,2,1,2,1,3,0,1,无,强袭,无,无要求,,,已登场,蛎崎季广,城主,直臣,安东家,胜山馆,无,已登场,蛎崎季广,城主,直臣,安东家,胜山馆,无,已登场,蛎崎季广,城主,直臣,安东家,胜山馆,无,已登场,蛎崎季广,城主,直臣,安东家,胜山馆,无,已登场,蛎崎季广,城主,直臣,安东家,胜山馆,无,已登场,蛎崎季广,城主,直臣,安东家,胜山馆,无,已登场,蛎崎季广,部将,陪臣（蛎崎庆广）,安东家,胜山馆,无,已死亡,蛎崎季广,无效,无效,无,无效,无,已登场,蛎崎季广,船头,直臣,房总水军,冈本之砦,无,
216,261,蛎崎庆广,蛎崎,精确匹配,lord_2_kakizaki_2,Kakizaki Yoshihiro,clan_kakizaki_2,ou,精确匹配织丰,,1549,1563,1616,病死,蛎崎季广,215,,,蛎崎季广,全职种,65,65,普通,勇敢,普通,普通,不重情义,83,艺术品,贪心,普通,源氏,刀剑,58,32,74,77,78,1,0,2,2,0,0,0,0,0,2,1,2,2,3,2,1,无,强袭,无,一般条件,,,未登场,蛎崎庆广,部将,陪臣（蛎崎季广）,安东家,胜山馆,无,未登场,蛎崎庆广,部将,陪臣（蛎崎季广）,安东家,胜山馆,无,已登场,蛎崎庆广,部将,陪臣（蛎崎季广）,安东家,胜山馆,无,已登场,蛎崎庆广,部将,陪臣（蛎崎季广）,安东家,胜山馆,无,已登场,蛎崎庆广,部将,陪臣（蛎崎季广）,安东家,胜山馆,无,已登场,蛎崎庆广,部将,陪臣（蛎崎季广）,安东家,胜山馆,无,已登场,蛎崎庆广,城主,直臣,安东家,胜山馆,无,已登场,蛎崎庆广,大名,首领,蛎崎家,松前城,无,已登场,蛎崎庆广,头领,首领,房总水军,冈本之砦,无,天下大茶会剧情
427,515,武将,相马盛胤,相馬盛胤,精确匹配,相马盛胤,100,lord_1_soma,clan_soma_1,ou,Soma Moritane,Soma Moritane,1529,1554,1601,刀剑,72,61,47,29,54,2,2,0,0,1,1,2,0,0,1,0,2,0,2,0,0,无,强袭,无,,,,,相马义胤,只限武将,30,30,性急,勇敢,理想,轻率,不重情义,74,武具,普通,普通,平氏,已登场,相马盛胤,大名,首领,相马家,小高城,无,已登场,相马盛胤,大名,首领,相马家,小高城,无,已登场,相马盛胤,大名,首领,相马家,小高城,无,已登场,相马盛胤,大名,首领,相马家,小高城,无,已登场,相马盛胤,大名,首领,相马家,小高城,无,已登场,相马盛胤,大名,首领,相马家,小高城,无,已登场,相马盛胤,家老,直臣,相马家,小高城,无,已登场,相马盛胤,家老,直臣,相马家,小高城,无,已登场,相马盛胤,下忍,直臣,风魔众,风魔之里,无,无要求,,
428,516,武将,相马义胤,相馬義胤,精确匹配,相马义胤,100,lord_1_soma_2,clan_soma_1,ou,Soma Yoshitane,Soma Yoshitane,1548,1562,1635,刀剑,67,68,44,54,52,2,2,0,0,1,2,1,0,1,1,0,0,0,1,0,0,无,强袭，拔突，铁壁,无,相马盛胤,427,,,相马盛胤,只限武将,30,30,普通,勇敢,理想,轻率,普通,79,武具,普通,嗜酒如命,平氏,未登场,相马义胤,家老,直臣,相马家,小高城,无,未登场,相马义胤,家老,直臣,相马家,小高城,无,已登场,相马义胤,家老,直臣,相马家,小高城,无,已登场,相马义胤,家老,直臣,相马家,小高城,无,已登场,相马义胤,家老,直臣,相马家,小高城,无,已登场,相马义胤,家老,直臣,相马家,小高城,无,已登场,相马义胤,大名,首领,相马家,小高城,无,已登场,相马义胤,大名,首领,相马家,小高城,无,已登场,相马义胤,下忍,直臣,风魔众,风魔之里,无,一般条件,,
217,262,垣屋光成,垣屋,需新建,lord_1_kakiyamitsunari,Kane Makoto,,,,,1520,1554,1592,病死,,,,,,全职种,16,16,普通,胆小,现实,轻率,不重情义,69,书籍,普通,普通,平氏,刀剑,57,53,46,69,32,1,1,1,0,1,1,2,0,0,0,0,0,0,2,0,0,无,强袭,无,无要求,,,已登场,垣屋光成,部将,直臣,山名家,鸟取城,无,已登场,垣屋光成,部将,直臣,山名家,鸟取城,无,已登场,垣屋光成,部将,直臣,山名家,鸟取城,无,已登场,垣屋光成,部将,直臣,山名家,鸟取城,无,已登场,垣屋光成,部将,直臣,山名家,鸟取城,无,已登场,垣屋光成,足轻大将,陪臣（羽柴秀吉）,织田家,姬路城,无,已登场,垣屋光成,部将,陪臣（宫部继润）,羽柴家,鸟取城,无,已死亡,垣屋光成,无效,无效,无,无效,无,已登场,垣屋光成,浪人,其他,无,清洲之町,无,
218,263,笕十藏,笕,需新建,lord_1_kura,Kawata Nagachika,,,,,1581,1595,1615,战死,,,,,,武将以外优先,49,49,普通,普通,理想,轻率,重视情义,42,武具,无欲,普通,其他,火绳枪,53,81,37,66,79,2,0,4,0,2,2,1,3,0,0,1,0,0,0,0,1,狙击，幻惑之术，内讧之术,强袭，拔突，二连苦无，半月，急所击，二挺击，刚弓，石火，乱射，铁壁,火枪名人,一般条件,,,未登场,笕十藏,浪人,其他,无,诹访之町,无,未登场,笕十藏,浪人,其他,无,诹访之町,无,未登场,笕十藏,浪人,其他,无,诹访之町,无,未登场,笕十藏,浪人,其他,无,诹访之町,无,未登场,笕十藏,浪人,其他,无,诹访之町,无,未登场,笕十藏,浪人,其他,无,诹访之町,无,未登场,笕十藏,浪人,其他,无,诹访之町,无,已登场,笕十藏,浪人,其他,无,诹访之町,无,已登场,笕十藏,部将,直臣,十河家,广岛城,无,
431,520,武将,十河一存,十河一存,精确匹配,十河一存,100,dead_lord_1_sogo_1,clan_sogo_1,nankai,Sogo Kazumasa,Sogo Kazumasa,1532,1554,1561,刀剑,76,67,47,38,68,2,2,2,2,1,2,2,1,0,0,0,0,0,1,0,1,无,强袭，拔突，铁壁,无,(三好元长),1333,(三好长秀),1331,安宅冬康 十河存保 三好笑岩 三好长治 三好长庆 三好义兴 三好实休 三好义继,只限武将,50,50,性急,勇敢,理想,轻率,重视情义,68,武具,贪心,嗜酒如命,其他,已登场,十河一存,城主,直臣,细川家,十河城,无,已登场,十河一存,城主,直臣,三好家,十河城,无,已登场,十河一存,城主,直臣,三好家,十河城,无,已死亡,十河一存,无效,无效,无,无效,无,已死亡,十河一存,无效,无效,无,无效,无,已死亡,十河一存,无效,无效,无,无效,无,已死亡,十河一存,无效,无效,无,无效,无,已死亡,十河一存,无效,无效,无,无效,无,已登场,十河一存,家老,直臣,十河家,广岛城,无,一般条件,,
432,521,武将,十河存保,十河存保,精确匹配,十河存保,100,lord_1_sogo,clan_sogo_1,nankai,Sogo Masayasu,Sogo Masayasu,1554,1568,1586,刀剑,58,53,42,54,65,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,无,强袭,无,三好实休,708,(三好元长),1333,安宅冬康 十河一存 三好长治 三好长庆 三好义兴 三好实休 三好义继,只限武将,50,50,性急,勇敢,普通,慎重,普通,72,艺术品,普通,普通,其他,未登场,十河存保,部将,陪臣（十河一存）,细川家,十河城,无,未登场,十河存保,部将,陪臣（十河一存）,三好家,十河城,无,未登场,十河存保,足轻组头,陪臣（十河一存）,三好家,十河城,无,已登场,十河存保,城主,直臣,三好家,十河城,无,已登场,十河存保,城主,直臣,三好家,十河城,无,已登场,十河存保,大名,首领,十河家,十河城,无,已登场,十河存保,大名,首领,十河家,十河城,无,已死亡,十河存保,无效,无效,无,无效,无,已登场,十河存保,大名,首领,十河家,广岛城,无,一般条件,,
219,265,葛西晴信,葛西,精确匹配,lord_1_kasai,Kasai Harunobu,clan_kasai_1,ou,精确匹配织丰,,1534,1554,1597,病死,葛西晴胤,854,,,葛西晴胤,只限武将,48,48,温和,胆小,普通,轻率,普通,14,书籍,无欲,滴酒不沾,平氏,刀剑,26,29,44,51,48,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,无,强袭,无,无要求,,,已登场,葛西晴信,家老,直臣,葛西家,寺池城,无,已登场,葛西晴信,大名,首领,葛西家,寺池城,无,已登场,葛西晴信,大名,首领,葛西家,寺池城,无,已登场,葛西晴信,大名,首领,葛西家,寺池城,无,已登场,葛西晴信,大名,首领,葛西家,寺池城,无,已登场,葛西晴信,大名,首领,葛西家,寺池城,无,已登场,葛西晴信,大名,首领,葛西家,寺池城,无,已死亡,葛西晴信,无效,无效,无,无效,无,已登场,葛西晴信,部将,直臣,西园寺家,山形城,无,
434,523,武将,大道寺政繁,大道寺政繁,精确匹配,大道寺政繁,100,lord_1_didoji,clan_didoji_1,kanto,Daidoji Masashige,Daidoji Masashige,1533,1554,1590,刀剑,56,44,82,51,49,1,1,1,1,0,1,2,0,3,2,1,1,0,1,1,0,无,强袭,无,,,,,,只限武将,80,80,普通,普通,普通,轻率,普通,51,书籍,无欲,普通,藤原氏,已登场,大道寺政繁,侍大将,直臣,北条家,小田原城,无,已登场,大道寺政繁,侍大将,直臣,北条家,小田原城,无,已登场,大道寺政繁,侍大将,直臣,北条家,小田原城,无,已登场,大道寺政繁,侍大将,直臣,北条家,小田原城,无,已登场,大道寺政繁,侍大将,直臣,北条家,小田原城,无,已登场,大道寺政繁,部将,直臣,北条家,小田原城,无,已登场,大道寺政繁,部将,直臣,北条家,小田原城,无,已死亡,大道寺政繁,无效,无效,无,无效,无,已登场,大道寺政繁,家老,直臣,大久保家,佐贺城,无,无要求,,
435,524,武将,大宝寺义氏,大寶寺義氏,精确匹配,大宝寺义氏,100,lord_1_daihoji_2,clan_daihoji_1,ou,Daihoji Yoshiuji,Daihoji Yoshiuji,1551,1565,1583,刀剑,19,16,21,52,9,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,无,强袭,无,大宝寺义增,813,,,大宝寺义增 大宝寺义兴,全职种,0,0,普通,胆小,现实,普通,普通,62,书籍,贪心,普通,藤原氏,未登场,大宝寺义氏,家老,直臣,大宝寺家,尾浦城,无,未登场,大宝寺义氏,家老,直臣,大宝寺家,尾浦城,无,未登场,大宝寺义氏,家老,直臣,大宝寺家,尾浦城,无,已登场,大宝寺义氏,大名,首领,大宝寺家,尾浦城,无,已登场,大宝寺义氏,大名,首领,大宝寺家,尾浦城,无,已登场,大宝寺义氏,大名,首领,大宝寺家,尾浦城,无,已死亡,大宝寺义氏,无效,无效,无,无效,无,已死亡,大宝寺义氏,无效,无效,无,无效,无,已登场,大宝寺义氏,家老,直臣,大久保家,佐贺城,无,无要求,,
220,266,笠原政尧,笠原,姓氏推断,lord_1_matsuda_matsurigoto,Kasahara Masayoshi,,kanto,,,1550,1564,1590,战死,松田宪秀,678,,,松田宪秀,全职种,80,20,普通,普通,理想,轻率,不重情义,79,书籍,贪心,普通,源氏,刀剑,47,34,50,45,40,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,无,强袭,无,无要求,,,未登场,笠原政尧,侍大将,直臣,北条家,小田原城,无,未登场,笠原政尧,侍大将,陪臣（松田宪秀）,北条家,小田原城,无,已登场,笠原政尧,侍大将,直臣,北条家,小田原城,无,已登场,笠原政尧,侍大将,直臣,北条家,小田原城,无,已登场,笠原政尧,侍大将,直臣,北条家,小田原城,无,已登场,笠原政尧,侍大将,直臣,北条家,小田原城,无,已登场,笠原政尧,侍大将,直臣,北条家,小田原城,无,已死亡,笠原政尧,无效,无效,无,无效,无,已登场,笠原政尧,浪人,其他,无,严岛之町,无,
221,267,梶原景宗,梶原,需新建,lord_1_kajiwarakeishuu,Ganshoji Shoei,,,,,1534,1554,1605,病死,,,,,,全职种,82,82,普通,勇敢,普通,轻率,重视情义,55,武具,贪心,普通,平氏,刀剑,74,78,29,51,67,2,1,2,4,2,2,0,1,3,1,0,1,0,0,1,1,水上禁行，蝴蝶之阵,强袭，拔突，刚弓，铁壁,无,一般条件,,,已登场,梶原景宗,头领,首领,相模水军,三崎之砦,无,已登场,梶原景宗,头领,首领,相模水军,三崎之砦,无,已登场,梶原景宗,头领,首领,相模水军,三崎之砦,无,已登场,梶原景宗,头领,首领,相模水军,三崎之砦,无,已登场,梶原景宗,头领,首领,相模水军,三崎之砦,无,已登场,梶原景宗,头领,首领,相模水军,三崎之砦,无,已登场,梶原景宗,头领,首领,相模水军,三崎之砦,无,已登场,梶原景宗,浪人,其他,无,杂贺之町,无,已登场,梶原景宗,浪人,其他,无,甲府之町,无,
438,531,武将,高桥鉴种,高橋鑒種,姓氏推断,,75,takahashi,clan_takahashi_1,saikai,Takahashi Akikane,,1536,1554,1579,刀剑,46,60,54,49,56,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,无,强袭,无,(一万田亲泰),1345,,,一万田鉴实,全职种,20,20,性急,勇敢,普通,轻率,不重情义,88,艺术品,贪心,普通,其他,未登场,高桥鉴种,城主,直臣,毛利家,岩屋城,无,已登场,高桥鉴种,国主,直臣,大友家,岩屋城,无,已登场,高桥鉴种,城主,直臣,大友家,岩屋城,无,已登场,高桥鉴种,城主,直臣,毛利家,岩屋城,无,已登场,高桥鉴种,城主,直臣,大友家,小仓城,无,已死亡,高桥鉴种,无效,无效,无,无效,无,已死亡,高桥鉴种,无效,无效,无,无效,无,已死亡,高桥鉴种,无效,无效,无,无效,无,已登场,高桥鉴种,浪人,其他,无,姬路之町,无,无要求,,
439,532,武将,高桥绍运,高橋紹運,姓氏推断,,50,takahashi_1,clan_takahashi_1,saikai,Takahashi Shoun,,1548,1562,1586,刀剑,84,87,40,65,77,2,3,2,1,1,2,3,0,0,0,1,0,1,0,0,1,无,强袭，拔突，铁壁,策士,吉弘鉴理,778,,,立花直次 立花宗茂 吉弘鉴理 吉弘镇信,只限武将,80,80,性急,勇敢,普通,普通,重视情义,52,武具,普通,普通,其他,未登场,高桥绍运,家老,直臣,大友家,府内城,无,未登场,高桥绍运,家老,直臣,大友家,府内城,无,已登场,高桥绍运,家老,直臣,大友家,府内城,无,已登场,高桥绍运,家老,直臣,大友家,府内城,无,已登场,高桥绍运,城主,直臣,大友家,岩屋城,无,已登场,高桥绍运,城主,直臣,大友家,岩屋城,无,已登场,高桥绍运,城主,直臣,大友家,岩屋城,无,已死亡,高桥绍运,无效,无效,无,无效,无,已登场,高桥绍运,浪人,其他,无,仓敷之町,无,一般条件,,
222,269,果心居士,果心,需新建,lord_1_kashimukoji,Kanbe Tomomori,,,,,1525,1554,1616,病死,,,,,,没那个意思,40,40,温和,普通,普通,慎重,不重情义,1,武具,无欲,滴酒不沾,其他,锁镰,4,69,21,89,73,0,0,2,0,2,2,1,4,0,0,2,2,0,2,2,2,激励，奈落之术，幻惑之术，雷爆之术，红莲之术，伪情报,强袭，拔突，二连苦无，半月，千鸟，刚弓，横车，铁壁,锁镰高手,一般条件,,,已登场,果心居士,浪人,其他,无,奈良之町,无,已登场,果心居士,浪人,其他,无,奈良之町,无,已登场,果心居士,浪人,其他,无,奈良之町,无,已登场,果心居士,浪人,其他,无,奈良之町,无,已登场,果心居士,浪人,其他,无,奈良之町,无,已登场,果心居士,浪人,其他,无,奈良之町,无,已登场,果心居士,浪人,其他,无,奈良之町,无,已登场,果心居士,浪人,其他,无,飞高山之町,无,已登场,果心居士,浪人,其他,无,诹访之町,无,
223,270,糟谷武则,糟谷,需新建,lord_1_kasutanitakeshi,Kan Tatsunaga,,,,,1554,1568,1609,病死,,,,,,只限武将,16,16,性急,普通,普通,轻率,普通,59,武具,普通,嗜酒如命,藤原氏,枪,56,74,37,42,38,1,1,1,0,2,3,0,0,0,0,1,0,0,0,1,1,无,强袭，连续斩，拔突，粘花，刚弓，卷枪，引落，柄返，刚力，铁壁,无,无要求,,,未登场,糟谷武则,浪人,其他,无,姬路之町,无,未登场,糟谷武则,浪人,其他,无,姬路之町,无,未登场,糟谷武则,浪人,其他,无,姬路之町,无,已登场,糟谷武则,浪人,其他,无,姬路之町,无,已登场,糟谷武则,浪人,其他,无,姬路之町,无,已登场,糟谷武则,足轻组头,陪臣（羽柴秀吉）,织田家,姬路城,无,已登场,糟谷武则,足轻组头,直臣,羽柴家,石山本愿寺,无,已登场,糟谷武则,城主,直臣,丰臣家,三木城,无,已登场,糟谷武则,浪人,其他,无,金泽之町,无,
442,536,武将,泷川一益,瀧川一益,精确匹配,泷川一益,100,lord_1_takigawa,clan_takigawa_1,kinai,Takigawa Kazumasu,Takigawa Kazumasu,1525,1554,1586,火绳枪,80,81,54,81,72,3,2,4,0,2,3,2,3,2,1,1,3,2,2,1,2,枪炮乱射，钓瓶击，城门爆破，幻惑之术,强袭，连续斩，拔突，二连苦无，半月，急所击，二挺击，刚弓，石火，乱射，刚力，铁壁，丢钱,火枪名人,(泷川一胜),1316,,,前田庆次,全职种,90,90,普通,勇敢,普通,轻率,普通,67,南蛮物,普通,嗜酒如命,其他,已登场,泷川一益,浪人,其他,无,目加田之町,无,已登场,泷川一益,浪人,其他,无,清洲之町,无,已登场,泷川一益,侍大将,直臣,织田家,清洲城,无,已登场,泷川一益,城主,直臣,织田家,安浓津城,无,已登场,泷川一益,城主,直臣,织田家,长岛城,无,已登场,泷川一益,城主,直臣,织田家,长岛城,无,已登场,泷川一益,家老,直臣,羽柴家,石山本愿寺,无,已死亡,泷川一益,无效,无效,无,无效,无,已登场,泷川一益,足轻大将,直臣,一宫家,春日山城,无,一般条件,,
443,537,武将,泷川雄利,瀧川雄利,姓氏推断,,50,takigawa_osuri,clan_takigawa_1,kinai,Takigawa Kazumasu,,1543,1557,1610,刀剑,55,23,44,60,37,2,0,0,1,0,1,1,0,0,1,0,1,2,2,0,1,无,强袭,无,,,木造具政,306,木造具政,全职种,61,61,温和,胆小,现实,慎重,普通,19,书籍,普通,普通,其他,未登场,泷川雄利,足轻组头,陪臣（木造具政）,北畠家,大河内城,无,未登场,泷川雄利,浪人,其他,无,大凑之町,无,已登场,泷川雄利,足轻组头,陪臣（木造具政）,北畠家,大河内城,无,已登场,泷川雄利,足轻组头,陪臣（木造具政）,北畠家,大河内城,无,已登场,泷川雄利,足轻组头,陪臣（织田信雄）,织田家,大河内城,无,已登场,泷川雄利,足轻组头,陪臣（织田信雄）,织田家,安浓津城,无,已登场,泷川雄利,部将,直臣,织田家,长岛城,无,已登场,泷川雄利,侍大将,直臣,丰臣家,大坂城,无,已登场,泷川雄利,浪人,其他,无,龟山之町,无,无要求,,
224,271,片桐且元,片桐,需新建,lord_1_katagirikatsumoto,Kyogoku Takayoshi,,,,,1556,1570,1615,病死,,,,,,只限武将,11,90,温和,胆小,普通,慎重,不重情义,32,书籍,无欲,普通,源氏,枪,45,68,67,64,32,2,1,1,0,0,2,1,0,1,1,1,0,2,2,1,1,无,强袭，拔突，铁壁,无,一般条件,,,未登场,片桐且元,浪人,其他,无,井之口之町,无,未登场,片桐且元,足轻组头,直臣,织田家,清洲城,无,未登场,片桐且元,足轻组头,直臣,织田家,清洲城,无,未登场,片桐且元,足轻组头,直臣,织田家,岐阜城,无,已登场,片桐且元,足轻组头,直臣,织田家,岐阜城,无,已登场,片桐且元,足轻组头,陪臣（羽柴秀吉）,织田家,姬路城,无,已登场,片桐且元,足轻组头,直臣,羽柴家,石山本愿寺,无,已登场,片桐且元,家老,直臣,丰臣家,大坂城,无,已登场,片桐且元,浪人,其他,无,赤间关之町,无,
225,272,片仓景纲,片仓,精确匹配,lord_1_katakura_4,Katakura Kagetsuna,clan_katakura_1,ou,精确匹配织丰,,1557,1571,1615,病死,,,,,片仓重长,只限武将,62,62,普通,勇敢,普通,慎重,普通,40,武具,无欲,普通,藤原氏,刀剑,80,69,72,77,81,2,2,2,0,0,3,1,0,1,2,1,1,0,1,0,0,骑射突击,强袭，连续斩，八神太刀，拔突，刚力，金刚力，铁壁，气声，大喝,无,一般条件,,,未登场,片仓景纲,足轻组头,直臣,伊达家,米泽城,新当流,未登场,片仓景纲,足轻组头,直臣,伊达家,米泽城,新当流,未登场,片仓景纲,足轻组头,直臣,伊达家,米泽城,新当流,未登场,片仓景纲,足轻组头,直臣,伊达家,米泽城,新当流,已登场,片仓景纲,足轻组头,直臣,伊达家,米泽城,新当流,已登场,片仓景纲,足轻组头,直臣,伊达家,米泽城,新当流,已登场,片仓景纲,侍大将,直臣,伊达家,米泽城,新当流,已登场,片仓景纲,部将,直臣,伊达家,仙台城,新当流,已登场,片仓景纲,浪人,其他,无,今治之町,新当流,
226,415,佐甲藤太郎,佐甲,需新建,lord_1_sakoufujitarou,Kirigakure Saizo,,,,,1554,1568,1659,病死,,,,,,武将以外优先,35,35,普通,普通,现实,普通,普通,45,艺术品,普通,普通,其他,枪,13,41,50,58,49,0,0,1,2,0,0,0,0,2,2,3,3,0,2,1,0,无,拔突，丢钱,无,无要求,,,未登场,佐甲藤太郎,掌柜,直臣,下关屋,赤间关之町,无,未登场,佐甲藤太郎,掌柜,直臣,下关屋,赤间关之町,无,未登场,佐甲藤太郎,掌柜,直臣,下关屋,赤间关之町,无,已登场,佐甲藤太郎,掌柜,直臣,下关屋,赤间关之町,无,已登场,佐甲藤太郎,当家,首领,下关屋,赤间关之町,无,已登场,佐甲藤太郎,当家,首领,下关屋,赤间关之町,无,已登场,佐甲藤太郎,当家,首领,下关屋,赤间关之町,无,已登场,佐甲藤太郎,当家,首领,下关屋,赤间关之町,无,已登场,佐甲藤太郎,浪人,其他,无,小滨之町,无,
447,542,武将,武田胜赖,武田勝賴,精确匹配,武田胜赖,100,lord_1_takeda_4,clan_takeda_1,tosan,Takeda Katsuyori,Takeda Katsuyori,1546,1560,1582,刀剑,79,85,51,61,37,2,3,2,0,1,3,3,0,1,1,2,1,1,1,1,0,影武者,强袭，连续斩，拔突，刚力，铁壁,无,武田信玄,449,武田信虎,801,一条信龙 武田逍遥轩 武田信玄 武田信繁 武田信丰 武田义信 仁科盛信 武田信虎,只限武将,70,70,性急,勇敢,普通,轻率,普通,79,武具,普通,普通,源氏,未登场,武田胜赖,家老,直臣,武田家,踯躅崎馆,无,未登场,武田胜赖,部将,陪臣（武田信玄）,武田家,踯躅崎馆,无,已登场,武田胜赖,部将,直臣,武田家,踯躅崎馆,无,已登场,武田胜赖,家老,直臣,武田家,踯躅崎馆,无,已登场,武田胜赖,大名,首领,武田家,踯躅崎馆,无,已登场,武田胜赖,大名,首领,武田家,甲府城,无,已死亡,武田胜赖,无效,无效,无,无效,无,已死亡,武田胜赖,无效,无效,无,无效,无,已登场,武田胜赖,浪人,其他,无,浦户之町,无,一般条件,,"主角德川家康，长筱之战胜利
主角织田信长，天目山之战胜利"
448,543,武将,武田逍遥轩,武田逍遙軒,姓氏推断,,44,takeda_shouyou,clan_takeda_1,tosan,Takeda Nobutora,,1528,1554,1582,刀剑,61,44,74,68,75,2,1,0,0,0,0,2,0,0,1,2,1,3,1,1,0,无,强袭,无,武田信虎,801,,,一条信龙 武田胜赖 武田信玄 武田信繁 武田信丰 仁科盛信 武田信虎,只限武将,62,62,温和,普通,普通,普通,重视情义,35,艺术品,无欲,普通,源氏,已登场,武田信廉,家老,直臣,武田家,踯躅崎馆,无,已登场,武田信廉,城主,直臣,武田家,高远城,无,已登场,武田信廉,城主,直臣,武田家,高远城,无,已登场,武田信廉,城主,直臣,武田家,高远城,无,已登场,武田逍遥轩,家老,直臣,武田家,踯躅崎馆,无,已登场,武田逍遥轩,家老,直臣,武田家,甲府城,无,已死亡,武田逍遥轩,无效,无效,无,无效,无,已死亡,武田逍遥轩,无效,无效,无,无效,无,已登场,武田逍遥轩,浪人,其他,无,岐阜之町,无,一般条件,,
449,544,武将,武田信玄,武田信玄,精确匹配,武田信玄,100,lord_1_takeda,clan_takeda_1,tosan,Takeda Shingen,Takeda Shingen,1521,1554,1573,刀剑,99,85,93,99,92,4,4,3,0,4,3,4,3,3,4,4,3,2,3,1,3,齐攻，城门爆破，土龙攻，风林火山，影武者，鬼谋，威吓,强袭，连续斩，拔突，二连苦无，半月，急所击，刚弓，刚力，铁壁，伤药，丢钱,军师,武田信虎,801,,,一条信龙 武田胜赖 武田逍遥轩 武田信繁 武田信丰 武田义信 仁科盛信 武田信虎,只限武将,62,62,普通,勇敢,普通,普通,不重情义,97,武具,贪心,普通,源氏,已登场,武田晴信,大名,首领,武田家,踯躅崎馆,无,已登场,武田信玄,大名,首领,武田家,踯躅崎馆,无,已登场,武田信玄,大名,首领,武田家,踯躅崎馆,无,已登场,武田信玄,大名,首领,武田家,踯躅崎馆,无,已死亡,武田信玄,无效,无效,无,无效,无,已死亡,武田信玄,无效,无效,无,无效,无,已死亡,武田信玄,无效,无效,无,无效,无,已死亡,武田信玄,无效,无效,无,无效,无,已登场,武田信玄,浪人,其他,无,会津之町,无,一般条件,武田四名臣 山县昌景/马场信春/高坂昌信/内藤昌丰,主角德川家康，三方原之战胜利
