类别,所属域,太阁原词,例句,我们侧名,值类型,语义,参数,备注,频率
属性,商家,本店,調查:(據點::發生據點)==(商家::商家Ａ.本店),Org.hq,对象:据点,本店,—,🔴 需新增（数据包）,15
属性,商家 / 大名家 / 忍者衆 / 海賊衆,與主人公關係,調查:(大名家::大名家Ａ.與主人公關係)==(0),relation,枚举:與主人公關係,與主人公關係（值：背叛了 / 0 / 未發生）,—,🔴 需新增（mod 外置属性）,48
属性,商家 / 忍者衆 / 海賊衆,未知３,更新:(商家::商家Ａ.未知３)(偽),unknown,布尔,未知（解析碎片）,—,🔴 解析碎片,5
属性,地方 / 官位 / 官職,1,調查:(官職::筑前守.1)==(人物::無效),title.attr_1 / Region.attr_1 / court_rank.attr_1,对象:人物,1,—,🔴 需新增（17 官职）,54
属性,城,住民安定度,調查:(城::城Ａ.住民安定度)>=(70),Settlement.security,数字,治安,—,✅ 引擎查询器,115
属性,城,城主,代入人物Ｄ:(城::城Ｃ.城主),Settlement.owner,对象:人物,归属/城主,—,✅ 引擎查询器,2451
属性,城,基準石高,調查:(城::城Ａ.基準石高)>=(變量::ｇ),Settlement.kokudaka,数字,石高,—,✅ 引擎查询器,48
属性,城,大筒,代入ｅ:(城::城Ａ.大筒),Settlement.materials,数字,物资储备,—,✅ 引擎查询器,7
属性,城,暴動標誌,更新:(城::吉田.暴動標誌)(真偽::真),Settlement.rebellion,布尔,叛乱状态（TK5 拼写：真偽::偽 / 真偽::真 → true/false）,—,✅ 引擎查询器,43
属性,城,現石高,調查:(城::城Ｃ.現石高)>(城::城Ｄ.現石高),Settlement.kokudaka,数字,石高,—,✅ 引擎查询器,88
属性,城,現礦山,代入ｈ:(城::城Ａ.現礦山)+(5),Settlement.mine,数字,矿山,—,✅ 引擎查询器,54
属性,城,礦山最高值,調查:(城::城Ａ.礦山最高值)>=(變量::ｈ),Settlement.mine_max,数字,矿山最高值,—,🔴 需新增（mod 外置属性）,30
属性,城 / 據點,規模,調查:(據點::觀音寺城.規模)<(29),Settlement.scale,数字,规模,—,🔴 需新增（mod 外置属性）,82
属性,城 / 據點 / 町,所在地方,調查:(城::城Ａ.所在地方)!=(地方::近畿),Settlement.region,对象:区域,所在国/地方,—,✅ 引擎查询器,242
属性,城 / 據點 / 町,所屬國,調查:(城::城Ａ.所屬國)==(據點::發生據點.所屬國),Settlement.region,对象:区域,所在国/地方,—,✅ 引擎查询器,719
属性,城 / 砦 / 軍團 / 里,士氣,代入ｍ:(城::城Ａ.士氣),Settlement.morale / Army.morale,数字,士气,—,✅ 引擎查询器,344
属性,城 / 砦 / 里,兵糧,調查:(城::城Ａ.兵糧)>=(10000),Settlement.food,数字,兵粮,—,✅ 引擎查询器,279
属性,城 / 砦 / 里,戰鬥標誌,調查:(城::城Ｂ.戰鬥標誌)==(0),Settlement.siege,布尔,战斗/围城状态（TK5 拼写：0 / 1 / 未發生 → true/false）,—,✅ 引擎查询器,128
属性,城 / 砦 / 里,訓練度,調查:(城::城Ｃ.訓練度)<(90),Settlement.training,数字,训练度,—,✅ 引擎查询器,119
属性,城 / 砦 / 里,軍資金,調查:(城::城Ａ.軍資金)<=(變量::ａ),Settlement.funds,数字,军资金,—,✅ 引擎查询器,309
属性,城 / 砦 / 里,防御度,調查:(城::城Ｂ.防御度)>=(50),Settlement.defense,数字,防御度,—,✅ 引擎查询器,190
属性,城 / 軍團,軍馬,代入ｃ:(城::城Ａ.軍馬),Settlement.materials / Army.materials,数字,物资储备,—,✅ 引擎查询器,54
属性,城 / 軍團,鐵砲,代入ｄ:(城::城Ｂ.鐵砲)/(2),Settlement.materials / Army.materials,数字,物资储备,—,✅ 引擎查询器,184
属性,城 / 里,兵士数,調查:(城::城Ａ.兵士数)>=(10000),Settlement.garrison,数字,驻军,—,✅ 引擎查询器,384
属性,大名家,10,更新:(大名家::上杉景勝.10)(城::橡尾),Clan.attr_10,对象:据点,10,—,🔴 需新增（mod 外置属性）,14
属性,大名家,24,調查:(大名家::大名家Ａ.24)==(商家::商家Ａ.當主),Clan.attr_24,对象:人物,24,—,🔴 需新增（mod 外置属性）,5
属性,大名家,25,調查:(大名家::大名家Ｂ.25)<(1),Clan.attr_25,数字,25,—,🔴 需新增（mod 外置属性）,4
属性,大名家,26,更新:(大名家::上杉謙信.26)(31),Clan.attr_26,数字,26,—,🔴 需新增（mod 外置属性）,6
属性,大名家,停止進攻,更新:(大名家::足利義昭.停止進攻)(真),Clan.ceasefire,布尔,停止进攻,—,🔴 需新增（mod 外置属性）,121
属性,大名家,出奔計數器,更新:(大名家::大名家Ｄ.出奔計數器)(5),Clan.deserter_count,数字,出奔计数器,—,🔴 需新增（mod 外置属性）,3
属性,大名家,城数,調查:(大名家::島津義久.城数)<(9),Clan.settlements,数字,城数,—,✅ 引擎查询器,87
属性,大名家,大方針目標,更新:(大名家::大名家Ｂ.大方針目標)(國::山城),Clan.policy_goal,对象:区域,大方针目标,—,🔴 需新增（mod 外置属性）,25
属性,大名家,朝廷貢献度,更新:(大名家::大名家Ａ.朝廷貢献度)(255),Clan.court_favor,数字,朝廷贡献度,—,🔴 需新增（mod 外置属性）,6
属性,大名家,未知9,更新:(大名家::上杉景勝.未知9)(偽),unknown,布尔,未知（解析碎片）,—,🔴 解析碎片,22
属性,大名家,本城,代入城Ａ:(大名家::大名家Ａ.本城),Clan.home,对象:据点,本城,—,✅ 引擎查询器,2298
属性,大名家 / 忍者衆,大方針,更新:(大名家::大名家Ｂ.大方針)(分國統一),Clan.policy / Org.policy,枚举:大方針,大方针（值：分國統一 / 統一天下 / 上洛 / 里守備 / 地方統一 / 3）,—,✅ 引擎查询器,125
属性,大名家 / 忍者衆 / 海賊衆,戰略,更新:(大名家::大名家Ａ.戰略)(國內統一),Clan.strategy / Org.strategy,枚举:戰略,战略（值：大名攻略 / 領土守備 / 國內統一 / 3 / 統一天下 / 領土發展 / 地方統一 / 敵城攻略）,—,✅ 引擎查询器,470
属性,大名家 / 忍者衆 / 海賊衆,戰略目標,更新:(大名家::大名家Ａ.戰略目標)(國::越前),Clan.strategy_goal / Org.strategy_goal,对象:家族,战略目标,—,🔴 需新增（mod 外置属性）,286
属性,大名家 / 忍者衆 / 海賊衆,支配力,調查:(忍者衆::忍者衆Ａ.支配力)>=(7),Org.power / Clan.power,数字,支配力,—,✅ 引擎查询器,177
属性,天氣,147,更新:(狀況::天氣)(天氣::晴.147),weather.attr_147,数字,147,—,🔴 需新增（03 预设）,1
属性,官位,102,調查:(人物::明智光秀.官位)==(官位::無效.102),court_rank.attr_102,数字,102,—,🔴 需新增（17 官职）,1
属性,官位,15,調查:(人物::姉小路良頼.官位)<(官位::從三位.15),court_rank.attr_15,数字,15,—,🔴 需新增（17 官职）,2
属性,官位,16,調查:(人物::發生人物.官位)==(官位::正一位.16),court_rank.attr_16,数字,16,—,🔴 需新增（17 官职）,1
属性,官位,246,調查:(人物::織田信長.官位)!=(官位::正六位下.246),court_rank.attr_246,数字,246,—,🔴 需新增（17 官职）,1
属性,官位,43,調查:(人物::柴田勝家.官位)==(官位::無效.43),court_rank.attr_43,数字,43,—,🔴 需新增（17 官职）,1
属性,官位,44,調查:(人物::明智光秀.官位)==(官位::無效.44),court_rank.attr_44,数字,44,—,🔴 需新增（17 官职）,1
属性,工作,139,調查:(人物::主人公.承擔工作)==(工作::買進硝石.139),QuestDef.attr_139,数字,139,—,🔴 需新增（13 主命）,1
属性,工作,5,調查:(人物::主人公.承擔工作)==(工作::助陣.5),QuestDef.attr_5,数字,5,—,🔴 需新增（13 主命）,1
属性,忍者衆 / 海賊衆,支持大名家,調查:(忍者衆::忍者衆Ｂ.支持大名家)!=(大名家::無效),Org.supporter,对象:家族,支持大名家,—,🔴 需新增（数据包）,21
属性,據點,地形,調查:(據點::據點Ｃ.地形)!=(2),Settlement.terrain,数字,地形,—,🔴 需新增（mod 外置属性）,2
属性,據點,據點種類,調查:(據點::發生據點.據點種類)==(2),Settlement.type,数字,类型,—,✅ 引擎查询器,54
属性,據點,據點類型,調查:(據點::發生據點.據點類型)==(4),Settlement.type,数字,类型,—,✅ 引擎查询器,223
属性,據點,攻め取りカウンタ,調查:(據點::據點Ａ.攻め取りカウンタ)<(1),Settlement.attack,数字,攻城计数器,—,🔴 需新增（mod 外置属性）,1
属性,流派,印可狀標誌,更新:(流派::鐘捲.印可狀標誌)(真偽::真),Card.license_flag,布尔,印可状标记（TK5 拼写：真偽::真 / 真偽::偽 → true/false）,—,🔴 需新增（数据包）,28
属性,流派,宗家,調查:(流派::中條.宗家)==(人物::富田勢源),Card.sword_hq,对象:人物,宗家,—,🔴 需新增（数据包）,9
属性,流派,道場打破可能標誌,調查:(流派::寶藏院.道場打破可能標誌)==(真偽::真),Card.dojo_break,布尔,道場打破可能標誌（TK5 拼写：真偽::真 → true/false）,—,🔴 需新增（数据包）,3
属性,海賊衆,大型船建造技術,更新:(海賊衆::海賊衆Ｂ.大型船建造技術)(量産可能),Org.tech_large_vessel,数字,大型船建造技術,—,🔴 需新增（数据包）,3
属性,海賊衆,鐵甲船建造技術,更新:(海賊衆::海賊衆Ａ.鐵甲船建造技術)(可能),Org.tech_vessel,枚举:鐵甲船建造技術,鐵甲船建造技術（值：可能 / 2 / 1 / 0 / 量産可能）,—,🔴 需新增（数据包）,12
属性,物品,價值,調查:(物品::物品Ａ.價值)>=(5),Item.price,数字,價值,—,🔴 需新增（数据包）,13
属性,物品,價格,代入ｐ:(物品::物品Ａ.價格)/(10),Item.price,数字,價格,—,🔴 需新增（数据包）,14
属性,物品,所有個数,調查:(物品::斗篷.所有個数)>=(1),Item.count,数字,所有個数,—,🔴 需新增（数据包）,148
属性,物品,所有者,更新:(物品::地球儀.所有者)(人物::天皇),Item.owner,对象:人物,归属/城主,—,✅ 引擎查询器,287
属性,物品,物品類型,調查:(物品::物品Ａ.物品類型)==(物品類型::茶器),Item.type,枚举:物品類型,类型,—,✅ 引擎查询器,3
属性,物品,補正值,更新:(物品::物品Ｂ.補正值)(7),Item.bonus,数字,补正值,—,🔴 需新增（数据包）,3
属性,物品,鑑定標誌,更新:(物品::物品Ａ.鑑定標誌)(已鑑定),Item.appraised,布尔,鑑定標誌（TK5 拼写：已鑑定 / 1 → true/false）,—,🔴 需新增（数据包）,29
属性,環境變量,88,調查:(環境變量::5270.88)-(主命屬性::5288.80),env.attr_88,数字,88,—,🔴 需新增（数据包）,1
属性,町,商人司,代入勢力Ａ:(町::町Ａ.商人司),Settlement.merchant_office,对象:王国,商人司,—,🔴 需新增（mod 外置属性）,1
属性,町,曾經訪問,調查:(町::那覇.曾經訪問)==(真偽::偽),Settlement.visited,布尔,曾经访问,—,🔴 需新增（mod 外置属性）,4
属性,町,道場主人,調查:(町::町Ａ.道場主人)==(人物::剣術的師範),Settlement.dojo_owner,对象:人物,道场主人,—,🔴 需新增（mod 外置属性）,52
属性,町,道場２主人,更新:(町::奈良.道場２主人)(人物::柳生石舟齋),Settlement.dojo_owner,对象:人物,道场主人,—,🔴 需新增（mod 外置属性）,9
属性,砦,大型船舶数,代入ｃ:(砦::砦Ｃ.大型船舶数)/(2),Settlement.vessels_large,数字,大型船舶数,—,🔴 需新增（mod 外置属性）,25
属性,砦,所有船舶数,代入ｃ:(砦::砦Ｃ.所有船舶数)/(2),Settlement.vessels,数字,船舶,—,✅ 引擎查询器,27
属性,砦,鐵甲船数,調查:(砦::十三湊.鐵甲船数)==(0),Settlement.vessels_ironclad,数字,鐵甲船数,—,🔴 需新增（mod 外置属性）,77
属性,砦 / 里,主人,代入人物Ｅ:(里::里Ｅ.主人),Settlement.owner,对象:人物,归属/城主,—,✅ 引擎查询器,2
属性,背景音樂,92,調查:(背景音樂::5452.92)>=(主命屬性::5324.82),bgm.attr_92,数字,92,—,🔴 需新增（数据包）,1
属性,軍團,27,調查:(軍團::軍團１.27)==(城::城Ｂ),Army.attr_27,对象:据点,27,—,🔴 需新增（02 PartyBrain）,62
属性,軍團,28,更新:(軍團::主人公軍團.28)(10000),Army.attr_28,数字,28,—,🔴 需新增（02 PartyBrain）,5
属性,軍團,8,調查:(軍團::主人公軍團.8)==(軍團方針::歸還),Army.attr_8,枚举:軍團方針,8,—,🔴 需新增（02 PartyBrain）,19
属性,軍團,使用狀況,調查:(軍團::事件用１軍團.使用狀況)==(0),Army.state,数字,登场状态,—,✅ 引擎查询器,475
属性,軍團,士兵數,調查:(軍團::軍團２.士兵數)>=(1500),Army.troops,数字,兵数,—,🔴 需新增（02 PartyBrain）,15
属性,軍團,援軍對象軍團番號,調查:(軍團::主人公軍團.援軍對象軍團番號)==(軍團::軍團Ａ),Army.reinforce_id,对象:部队,援军军团番号,—,🔴 需新增（02 PartyBrain）,16
属性,軍團,武將２,代入人物Ｄ:(軍團::主人公軍團.武將２),Army.general,对象:人物,武将槽,—,🔴 需新增（02 PartyBrain）,368
属性,軍團,武將３,代入人物Ｂ:(軍團::軍團１.武將３),Army.general,对象:人物,武将槽,—,🔴 需新增（02 PartyBrain）,88
属性,軍團,武將４,調查:(軍團::軍團２.武將４)==(人物::山中鹿介),Army.general,对象:人物,武将槽,—,🔴 需新增（02 PartyBrain）,24
属性,軍團,武將５,調查:(軍團::軍團２.武將５)==(人物::山中鹿介),Army.general,对象:人物,武将槽,—,🔴 需新增（02 PartyBrain）,15
属性,軍團,結果,調查:(軍團::主人公軍團.結果)==(1),Army.result,数字,战斗结果,—,✅ 引擎查询器,279
属性,軍團,軍團方針,調查:(軍團::軍團２.軍團方針)==(城::小田原),Army.intent,对象:据点,军团方针,—,✅ 引擎查询器,2
属性,軍團,軍團長,代入人物Ｄ:(軍團::主人公軍團.軍團長),Army.leader,对象:人物,是否家主,—,✅ 引擎查询器,396
属性,遊戲通關種類,134,調查:(遊戲通關種類::5830.134)!=(事件發生狀態::6089.73),ending.attr_134,数字,134,—,🔴 需新增（数据包）,1
域值,主命,交涉銷售通,調查:(人物::主人公.承擔主命)==(主命::交涉銷售通（海賊）),tk5_uf827ca,枚举:主命,交涉銷售通,—,✅ 引擎,1
域值,主命,保護港町,調查:(人物::主人公.承擔主命)==(主命::保護港町（海賊）),tk5_u0db6f9,枚举:主命,保護港町,—,✅ 引擎,1
域值,主命,保護要人,調查:(人物::主人公.承擔主命)==(主命::保護要人（忍者）),tk5_u6f49d8,枚举:主命,保護要人,—,✅ 引擎,2
域值,主命,修業,調查:(人物::主人公.承擔主命)==(主命::修業（商人）),tk5_u47bce6,枚举:主命,修業,—,✅ 引擎,4
域值,主命,創設文庫,調查:(人物::主人公.承擔主命)==(主命::創設文庫（商人）),tk5_u116954,枚举:主命,創設文庫,—,✅ 引擎,1
域值,主命,勸誘,調查:(人物::主人公.承擔主命)==(主命::勸誘（商人）),tk5_u5c578e,枚举:主命,勸誘,—,✅ 引擎,4
域值,主命,周邊警備,調查:(人物::主人公.承擔主命)==(主命::周邊警備（商人）),tk5_u4dcdf8,枚举:主命,周邊警備,—,✅ 引擎,1
域值,主命,城調查,調查:(人物::主人公.承擔主命)==(主命::城調查（武士）),tk5_u015004,枚举:主命,城調查,—,✅ 引擎,1
域值,主命,增築,調查:(人物::主人公.承擔主命)==(主命::增築（商人）),tk5_u1aa7a5,枚举:主命,增築,—,✅ 引擎,4
域值,主命,宣傳,調查:(人物::主人公.承擔主命)==(主命::宣傳（商人）),tk5_u7ab197,枚举:主命,宣傳,—,✅ 引擎,1
域值,主命,宣傳店鋪,調查:(人物::主人公.承擔主命)==(主命::宣傳店鋪（商人）),tk5_u2d793f,枚举:主命,宣傳店鋪,—,✅ 引擎,1
域值,主命,建造大型船,調查:(人物::主人公.承擔主命)==(主命::建造大型船（海賊）),tk5_uf1f253,枚举:主命,建造大型船,—,✅ 引擎,1
域值,主命,建造鐵甲船,調查:(人物::主人公.承擔主命)==(主命::建造鐵甲船（海賊）),tk5_u1329e1,枚举:主命,建造鐵甲船,—,✅ 引擎,1
域值,主命,彫刻佛像,調查:(人物::主人公.承擔主命)==(主命::彫刻佛像（商人）),tk5_udee6c0,枚举:主命,彫刻佛像,—,✅ 引擎,1
域值,主命,御用商辭退,調查:(人物::主人公.承擔主命)==(主命::御用商辭退（商人）),tk5_ufab90f,枚举:主命,御用商辭退,—,✅ 引擎,1
域值,主命,徵兵,調查:(人物::主人公.承擔主命)==(主命::徵兵（忍者）),tk5_ua2491e,枚举:主命,徵兵,—,✅ 引擎,2
域值,主命,慈善義演,調查:(人物::主人公.承擔主命)==(主命::慈善義演（商人）),tk5_u4275dd,枚举:主命,慈善義演,—,✅ 引擎,1
域值,主命,戰略調查,調查:(人物::主人公.承擔主命)==(主命::戰略調查（忍者）),tk5_u4f3f42,枚举:主命,戰略調查,—,✅ 引擎,1
域值,主命,扁額揮毫,調查:(人物::主人公.承擔主命)==(主命::扁額揮毫（商人）),tk5_u43de44,枚举:主命,扁額揮毫,—,✅ 引擎,1
域值,主命,投資,調查:(人物::主人公.承擔主命)==(主命::投資（商人）),tk5_u213672,枚举:主命,投資,—,✅ 引擎,1
域值,主命,抜け忍狩り,調查:(人物::主人公.承擔主命)==(主命::抜け忍狩り（忍者）),tk5_ucb8102,枚举:主命,抜け忍狩り,—,✅ 引擎,1
域值,主命,招聘学僧,調查:(人物::主人公.承擔主命)==(主命::招聘学僧（商人）),tk5_ueded80,枚举:主命,招聘学僧,—,✅ 引擎,1
域值,主命,招聘宣教師,調查:(人物::主人公.承擔主命)==(主命::招聘宣教師（商人）),tk5_u112e70,枚举:主命,招聘宣教師,—,✅ 引擎,1
域值,主命,招聘茶人,調查:(人物::主人公.承擔主命)==(主命::招聘茶人（商人）),tk5_u23bb56,枚举:主命,招聘茶人,—,✅ 引擎,1
域值,主命,招聘行商人,調查:(人物::主人公.承擔主命)==(主命::招聘行商人（商人）),tk5_u414525,枚举:主命,招聘行商人,—,✅ 引擎,1
域值,主命,挖井,調查:(人物::主人公.承擔主命)==(主命::挖井（商人）),tk5_u95186f,枚举:主命,挖井,—,✅ 引擎,1
域值,主命,提昇治安,調查:(人物::主人公.承擔主命)==(主命::提昇治安（武士）),tk5_u26c6f2,枚举:主命,提昇治安,—,✅ 引擎,1
域值,主命,搶奪兵糧,調查:(人物::主人公.承擔主命)==(主命::搶奪兵糧（忍者）),tk5_u36edcf,枚举:主命,搶奪兵糧,—,✅ 引擎,1
域值,主命,搶奪船,調查:(人物::主人公.承擔主命)==(主命::搶奪船（海賊）),tk5_ub8a45a,枚举:主命,搶奪船,—,✅ 引擎,1
域值,主命,攤販買賣,調查:(人物::主人公.承擔主命)==(主命::攤販買賣（商人）),tk5_u90f3c6,枚举:主命,攤販買賣,—,✅ 引擎,1
域值,主命,收借款,調查:(人物::主人公.承擔主命)==(主命::收借款（商人）),tk5_ud06cf6,枚举:主命,收借款,—,✅ 引擎,1
域值,主命,改装伽藍,調查:(人物::主人公.承擔主命)==(主命::改装伽藍（商人）),tk5_u83655d,枚举:主命,改装伽藍,—,✅ 引擎,1
域值,主命,攻略勢力,調查:(人物::主人公.承擔主命)==(主命::攻略勢力（武士）),tk5_ud5fab7,枚举:主命,攻略勢力,—,✅ 引擎,12
域值,主命,攻略國,調查:(人物::主人公.承擔主命)==(主命::攻略國（武士）),tk5_uda0d1b,枚举:主命,攻略國,—,✅ 引擎,5
域值,主命,攻略地方,調查:(人物::主人公.承擔主命)==(主命::攻略地方（武士）),tk5_ube7e36,枚举:主命,攻略地方,—,✅ 引擎,1
域值,主命,攻略據點,調查:(人物::主人公.承擔主命)==(主命::攻略據點（武士）),tk5_u4ba920,枚举:主命,攻略據點,—,✅ 引擎,3
域值,主命,放火,調查:(人物::主人公.承擔主命)==(主命::放火（忍者）),tk5_ufe24bd,枚举:主命,放火,—,✅ 引擎,3
域值,主命,整備下水,調查:(人物::主人公.承擔主命)==(主命::整備下水（商人）),tk5_u5c192c,枚举:主命,整備下水,—,✅ 引擎,1
域值,主命,普及喫茶,調查:(人物::主人公.承擔主命)==(主命::普及喫茶（商人）),tk5_u7f8157,枚举:主命,普及喫茶,—,✅ 引擎,1
域值,主命,普請造船,調查:(人物::主人公.承擔主命)==(主命::普請造船（海賊）),tk5_u99ad45,枚举:主命,普請造船,—,✅ 引擎,1
域值,主命,流行作り,調查:(人物::主人公.承擔主命)==(主命::流行作り（忍者）),tk5_u6e3543,枚举:主命,流行作り,—,✅ 引擎,1
域值,主命,流言,調查:(人物::主人公.承擔主命)==(主命::流言（忍者）),tk5_ue73fda,枚举:主命,流言,—,✅ 引擎,2
域值,主命,無效,調查:(人物::主人公.承擔主命)!=(主命::無效),null,空,無效,—,✅ 引擎,2
域值,主命,獲取貴重品,調查:(人物::主人公.承擔主命)!=(主命::獲取貴重品（忍者）),tk5_u134c9d,枚举:主命,獲取貴重品,—,✅ 引擎,14
域值,主命,田樂表演,調查:(人物::主人公.承擔主命)==(主命::田樂表演（商人）),tk5_u709761,枚举:主命,田樂表演,—,✅ 引擎,1
域值,主命,破壞,調查:(人物::主人公.承擔主命)==(主命::破壞（忍者）),tk5_u0be192,枚举:主命,破壞,—,✅ 引擎,3
域值,主命,籌措軍資金,調查:(人物::主人公.承擔主命)==(主命::籌措軍資金（武士）),tk5_uf3adba,枚举:主命,籌措軍資金,—,✅ 引擎,1
域值,主命,舞蹈表演,調查:(人物::主人公.承擔主命)==(主命::舞蹈表演（商人）),tk5_u77b020,枚举:主命,舞蹈表演,—,✅ 引擎,1
域值,主命,船留,調查:(人物::主人公.承擔主命)==(主命::船留（海賊）),tk5_u58c368,枚举:主命,船留,—,✅ 引擎,1
域值,主命,行商,調查:(人物::主人公.承擔主命)==(主命::行商（商人）),tk5_uebeaab,枚举:主命,行商,—,✅ 引擎,1
域值,主命,補修,調查:(人物::主人公.承擔主命)==(主命::補修（商人）),tk5_u00cebc,枚举:主命,補修,—,✅ 引擎,4
域值,主命,襲撃銷售通,調查:(人物::主人公.承擔主命)==(主命::襲撃銷售通（忍者）),tk5_ub57b42,枚举:主命,襲撃銷售通,—,✅ 引擎,1
域值,主命,襲擊沿岸,調查:(人物::主人公.承擔主命)==(主命::襲擊沿岸（海賊）),tk5_u0a86c3,枚举:主命,襲擊沿岸,—,✅ 引擎,1
域值,主命,襲擊要人,調查:(人物::主人公.承擔主命)==(主命::襲擊要人（忍者）),tk5_ua9ced0,枚举:主命,襲擊要人,—,✅ 引擎,1
域值,主命,討伐海賊,調查:(人物::主人公.承擔主命)==(主命::討伐海賊（海賊）),tk5_ued5b6e,枚举:主命,討伐海賊,—,✅ 引擎,1
域值,主命,訓練,調查:(人物::主人公.承擔主命)==(主命::訓練（忍者）),tk5_udf4408,枚举:主命,訓練,—,✅ 引擎,3
域值,主命,調撥木材,調查:(人物::主人公.承擔主命)==(主命::調撥木材（商人）),tk5_ub60b5a,枚举:主命,調撥木材,—,✅ 引擎,1
域值,主命,調查人材,調查:(人物::主人公.承擔主命)==(主命::調查人材（商人）),tk5_u028810,枚举:主命,調查人材,—,✅ 引擎,4
域值,主命,調查據點,調查:(人物::主人公.承擔主命)==(主命::調查據點（忍者）),tk5_uee796c,枚举:主命,調查據點,—,✅ 引擎,2
域值,主命,調查特産品,調查:(人物::主人公.承擔主命)==(主命::調查特産品（商人）),tk5_u1272de,枚举:主命,調查特産品,—,✅ 引擎,1
域值,主命,讀經法語,調查:(人物::主人公.承擔主命)==(主命::讀經法語（商人）),tk5_u447e5e,枚举:主命,讀經法語,—,✅ 引擎,1
域值,主命,財寶探索,調查:(人物::主人公.承擔主命)==(主命::財寶探索（忍者）),tk5_u256f69,枚举:主命,財寶探索,—,✅ 引擎,1
域值,主命,販賣寶物,調查:(人物::主人公.承擔主命)==(主命::販賣寶物（商人）),tk5_u370d57,枚举:主命,販賣寶物,—,✅ 引擎,1
域值,主命,販路交渉,調查:(人物::主人公.承擔主命)==(主命::販路交渉（忍者）),tk5_ub6e0de,枚举:主命,販路交渉,—,✅ 引擎,1
域值,主命,販路襲撃,調查:(人物::主人公.承擔主命)==(主命::販路襲撃（海賊）),tk5_uedb02c,枚举:主命,販路襲撃,—,✅ 引擎,1
域值,主命,販路護衛,調查:(人物::主人公.承擔主命)==(主命::販路護衛（忍者）),tk5_uac42fb,枚举:主命,販路護衛,—,✅ 引擎,2
域值,主命,買斷稻米,調查:(人物::主人公.承擔主命)==(主命::買斷稻米（商人）),tk5_u081a9a,枚举:主命,買斷稻米,—,✅ 引擎,1
域值,主命,買進交易品,調查:(人物::主人公.承擔主命)==(主命::買進交易品（商人）),tk5_u1a85a3,枚举:主命,買進交易品,—,✅ 引擎,1
域值,主命,買進兵糧,調查:(人物::主人公.承擔主命)==(主命::買進兵糧（商人）),tk5_ue3babf,枚举:主命,買進兵糧,—,✅ 引擎,4
域值,主命,買進大筒,調查:(人物::主人公.承擔主命)==(主命::買進大筒（商人）),tk5_u788b73,枚举:主命,買進大筒,—,✅ 引擎,2
域值,主命,買進寶物,調查:(人物::主人公.承擔主命)==(主命::買進寶物（商人）),tk5_u4e14fb,枚举:主命,買進寶物,—,✅ 引擎,1
域值,主命,買進軍馬,調查:(人物::主人公.承擔主命)==(主命::買進軍馬（商人）),tk5_ua9107d,枚举:主命,買進軍馬,—,✅ 引擎,2
域值,主命,買進鐵砲,調查:(人物::主人公.承擔主命)==(主命::買進鐵砲（商人）),tk5_u887034,枚举:主命,買進鐵砲,—,✅ 引擎,2
域值,主命,賣出兵糧,調查:(人物::主人公.承擔主命)==(主命::賣出兵糧（商人）),tk5_u55fbb1,枚举:主命,賣出兵糧,—,✅ 引擎,2
域值,主命,賣出鐵砲,調查:(人物::主人公.承擔主命)==(主命::賣出鐵砲（商人）),tk5_u684bcc,枚举:主命,賣出鐵砲,—,✅ 引擎,1
域值,主命,贈与軍資金,調查:(人物::主人公.承擔主命)==(主命::贈与軍資金（商人）),tk5_u2b735c,枚举:主命,贈与軍資金,—,✅ 引擎,1
域值,主命,輸送交易品,調查:(人物::主人公.承擔主命)==(主命::輸送交易品（商人）),tk5_u39e58c,枚举:主命,輸送交易品,—,✅ 引擎,1
域值,主命,送上,調查:(人物::主人公.承擔主命)==(主命::送上（商人）),tk5_ud83af0,枚举:主命,送上,—,✅ 引擎,1
域值,主命,酒食宴客,調查:(人物::主人公.承擔主命)==(主命::酒食宴客（商人）),tk5_u800159,枚举:主命,酒食宴客,—,✅ 引擎,1
域值,主命,銘茶進貨,調查:(人物::主人公.承擔主命)==(主命::銘茶進貨（商人）),tk5_u3dd805,枚举:主命,銘茶進貨,—,✅ 引擎,1
域值,主命,鑑定茶器,調查:(人物::主人公.承擔主命)==(主命::鑑定茶器（商人）),tk5_u66ff75,枚举:主命,鑑定茶器,—,✅ 引擎,1
域值,主命,開發新田,調查:(人物::主人公.承擔主命)==(主命::開發新田（武士）),tk5_ua740d4,枚举:主命,開發新田,—,✅ 引擎,1
域值,主命,開發礦山,調查:(人物::主人公.承擔主命)==(主命::開發礦山（武士）),tk5_u14cabb,枚举:主命,開發礦山,—,✅ 引擎,1
域值,主命,開鑿運河,調查:(人物::主人公.承擔主命)==(主命::開鑿運河（商人）),tk5_u113da3,枚举:主命,開鑿運河,—,✅ 引擎,1
域值,主命,高利貸,調查:(人物::主人公.承擔主命)==(主命::高利貸（商人）),tk5_u1b1f81,枚举:主命,高利貸,—,✅ 引擎,1
域值,事件標誌,10,調查:(事件標誌::10)==(1),Flag::flag_10,布尔,10,—,🔴 需新加（引擎 Flag）,4
域值,事件標誌,100,調查:(事件標誌::100)==(0),Flag::flag_100,布尔,100,—,🔴 需新加（引擎 Flag）,12
域值,事件標誌,101,更新:(事件標誌::101)(成立),Flag::flag_101,布尔,101,—,🔴 需新加（引擎 Flag）,5
域值,事件標誌,102,更新:(事件標誌::102)(成立),Flag::flag_102,布尔,102,—,🔴 需新加（引擎 Flag）,5
